sample_idx,timestamp,marker
0,1751306319.2576892,A
0,1751306319.2576892,B
0,1751306319.2576892,C
175,1751306319.9576893,A
300,1751306320.4576893,B
350,1751306320.6576893,A
500,1751306321.2576892,C
525,1751306321.3576891,A
600,1751306321.6576893,B
700,1751306322.0576892,A
875,1751306322.7576892,A
900,1751306322.8576891,B
1000,1751306323.2576892,C
1050,1751306323.4576893,A
1200,1751306324.0576892,B
1225,1751306324.1576893,A
1400,1751306324.8576891,A
1500,1751306325.2576892,B
1500,1751306325.2576892,C
1575,1751306325.5576892,A
1750,1751306326.2576892,A
1800,1751306326.4576893,B
1925,1751306326.9576893,A
2000,1751306327.2576892,C
2100,1751306327.6576893,A
2100,1751306327.6576893,B
2275,1751306328.3576891,A
2400,1751306328.8576891,B
2450,1751306329.0576892,A
2500,1751306329.2576892,C
2625,1751306329.7576892,A
2700,1751306330.0576892,B
2800,1751306330.4576893,A
2975,1751306331.1576893,A
3000,1751306331.2576892,B
3000,1751306331.2576892,C
3150,1751306331.8576891,A
3300,1751306332.4576893,B
3325,1751306332.5576892,A
3500,1751306333.2576892,A
3500,1751306333.2576892,C
3600,1751306333.6576893,B
3675,1751306333.9576893,A
3850,1751306334.6576893,A
3900,1751306334.8576891,B
4000,1751306335.2576892,C
4025,1751306335.3576891,A
4200,1751306336.0576892,A
4200,1751306336.0576892,B
4375,1751306336.7576892,A
4500,1751306337.2576892,B
4500,1751306337.2576892,C
4550,1751306337.4576893,A
4725,1751306338.1576893,A
4800,1751306338.4576893,B
4900,1751306338.8576891,A
5000,1751306339.2576892,C
5075,1751306339.5576892,A
5100,1751306339.6576893,B
5250,1751306340.2576892,A
5400,1751306340.8576891,B
5425,1751306340.9576893,A
5500,1751306341.2576892,C
5600,1751306341.6576893,A
5700,1751306342.0576892,B
5775,1751306342.3576891,A
5950,1751306343.0576892,A
6000,1751306343.2576892,B
6000,1751306343.2576892,C
6125,1751306343.7576892,A
6300,1751306344.4576893,A
6300,1751306344.4576893,B
6475,1751306345.1576893,A
6500,1751306345.2576892,C
6600,1751306345.6576893,B
6650,1751306345.8576891,A
6825,1751306346.5576892,A
6900,1751306346.8576891,B
7000,1751306347.2576892,A
7000,1751306347.2576892,C
7175,1751306347.9576893,A
7200,1751306348.0576892,B
7350,1751306348.6576893,A
