frequencia,num_canais,repeticao,duracao
20,1,1,15
20,1,2,15
20,1,3,15
20,1,4,15
20,1,5,15
20,5,1,15
20,5,2,15
20,5,3,15
20,5,4,15
20,5,5,15
20,15,1,15
20,15,2,15
20,15,3,15
20,15,4,15
20,15,5,15
20,20,1,15
20,20,2,15
20,20,3,15
20,20,4,15
20,20,5,15
50,1,1,15
50,1,2,15
50,1,3,15
50,1,4,15
50,1,5,15
50,5,1,15
50,5,2,15
50,5,3,15
50,5,4,15
50,5,5,15
50,15,1,15
50,15,2,15
50,15,3,15
50,15,4,15
50,15,5,15
50,20,1,15
50,20,2,15
50,20,3,15
50,20,4,15
50,20,5,15
100,1,1,15
100,1,2,15
100,1,3,15
100,1,4,15
100,1,5,15
100,5,1,15
100,5,2,15
100,5,3,15
100,5,4,15
100,5,5,15
100,15,1,15
100,15,2,15
100,15,3,15
100,15,4,15
100,15,5,15
100,20,1,15
100,20,2,15
100,20,3,15
100,20,4,15
100,20,5,15
200,1,1,15
200,1,2,15
200,1,3,15
200,1,4,15
200,1,5,15
200,5,1,15
200,5,2,15
200,5,3,15
200,5,4,15
200,5,5,15
200,15,1,15
200,15,2,15
200,15,3,15
200,15,4,15
200,15,5,15
200,20,1,15
200,20,2,15
200,20,3,15
200,20,4,15
200,20,5,15
1000,1,1,15
1000,1,2,15
1000,1,3,15
1000,1,4,15
1000,1,5,15
1000,5,1,15
1000,5,2,15
1000,5,3,15
1000,5,4,15
1000,5,5,15
1000,15,1,15
1000,15,2,15
1000,15,3,15
1000,15,4,15
1000,15,5,15
1000,20,1,15
1000,20,2,15
1000,20,3,15
1000,20,4,15
1000,20,5,15
